Analysegruppe;Dato;Bestilt;Kommet;Restanse;Eldste_dager
KLONALITET;2026-08-05;6;6;0;
KLONALITET;2026-08-06;9;9;0;
KLONALITET;2026-08-07;8;8;0;
KLONALITET;2026-08-08;1;1;0;
KLONALITET;2026-08-09;3;3;0;
KLONALITET;2026-08-10;13;13;0;
KLONALITET;2026-08-11;6;6;0;
KLONALITET;2026-08-12;10;10;0;
KLONALITET;2026-08-13;8;8;0;
KLONALITET;2026-08-14;10;10;0;
KLONALITET;2026-08-15;4;4;0;
KLONALITET;2026-08-16;0;0;0;
KLONALITET;2026-08-17;9;9;0;
KLONALITET;2026-08-18;9;9;0;
KLONALITET;2026-08-19;8;8;0;
KLONALITET;2026-08-20;8;8;0;
KLONALITET;2026-08-21;9;9;0;
KLONALITET;2026-08-22;4;4;0;
KLONALITET;2026-08-23;2;2;0;
KLONALITET;2026-08-24;10;10;0;
KLONALITET;2026-08-25;7;7;0;
KLONALITET;2026-08-26;10;10;0;
KLONALITET;2026-08-27;6;6;0;
KLONALITET;2026-08-28;9;9;0;
KLONALITET;2026-08-29;1;1;0;
KLONALITET;2026-08-30;3;3;0;
KLONALITET;2026-08-31;6;4;2;7
KLONALITET;2026-09-01;8;7;1;6
KLONALITET;2026-09-02;7;6;1;5
KLONALITET;2026-09-03;6;4;2;4
KLONALITET;2026-09-04;5;4;1;3
KLONALITET;2026-09-05;3;0;3;2
KLONALITET;2026-09-06;3;0;3;1
KLONALITET;2026-09-07;8;0;8;0
SEKV;2026-08-01;1;1;0;
SEKV;2026-08-02;1;1;0;
SEKV;2026-08-03;11;11;0;
SEKV;2026-08-04;12;12;0;
SEKV;2026-08-05;9;9;0;
SEKV;2026-08-06;7;7;0;
SEKV;2026-08-07;15;15;0;
SEKV;2026-08-08;0;0;0;
SEKV;2026-08-09;2;2;0;
SEKV;2026-08-10;8;8;0;
SEKV;2026-08-11;13;13;0;
SEKV;2026-08-12;12;12;0;
SEKV;2026-08-13;7;7;0;
SEKV;2026-08-14;8;8;0;
SEKV;2026-08-15;2;2;0;
SEKV;2026-08-16;2;2;0;
SEKV;2026-08-17;12;12;0;
SEKV;2026-08-18;10;10;0;
SEKV;2026-08-19;10;10;0;
SEKV;2026-08-20;8;8;0;
SEKV;2026-08-21;5;5;0;
SEKV;2026-08-22;7;7;0;
SEKV;2026-08-23;0;0;0;
SEKV;2026-08-24;10;10;0;
SEKV;2026-08-25;12;12;0;
SEKV;2026-08-26;8;8;0;
SEKV;2026-08-27;9;9;0;
SEKV;2026-08-28;6;6;0;
SEKV;2026-08-29;0;0;0;
SEKV;2026-08-30;5;5;0;
SEKV;2026-08-31;8;6;2;7
SEKV;2026-09-01;14;10;4;6
SEKV;2026-09-02;6;2;4;5
SEKV;2026-09-03;15;5;10;4
SEKV;2026-09-04;9;4;5;3
SEKV;2026-09-05;5;0;5;2
SEKV;2026-09-06;6;0;6;1
SEKV;2026-09-07;10;0;10;0
MYELOID;2026-08-01;0;0;0;
MYELOID;2026-08-02;0;0;0;
MYELOID;2026-08-03;11;11;0;
MYELOID;2026-08-04;10;10;0;
MYELOID;2026-08-05;9;9;0;
MYELOID;2026-08-06;9;9;0;
MYELOID;2026-08-07;6;6;0;
MYELOID;2026-08-08;4;4;0;
MYELOID;2026-08-09;6;6;0;
MYELOID;2026-08-10;7;7;0;
MYELOID;2026-08-11;11;11;0;
MYELOID;2026-08-12;8;8;0;
MYELOID;2026-08-13;17;17;0;
MYELOID;2026-08-14;12;12;0;
MYELOID;2026-08-15;2;2;0;
MYELOID;2026-08-16;5;5;0;
MYELOID;2026-08-17;10;10;0;
MYELOID;2026-08-18;9;9;0;
MYELOID;2026-08-19;6;6;0;
MYELOID;2026-08-20;15;15;0;
MYELOID;2026-08-21;9;9;0;
MYELOID;2026-08-22;7;7;0;
MYELOID;2026-08-23;2;2;0;
MYELOID;2026-08-24;11;9;2;14
MYELOID;2026-08-25;11;10;1;13
MYELOID;2026-08-26;11;9;2;12
MYELOID;2026-08-27;12;11;1;11
MYELOID;2026-08-28;10;9;1;10
MYELOID;2026-08-29;0;0;0;
MYELOID;2026-08-30;1;1;0;
MYELOID;2026-08-31;9;5;4;7
MYELOID;2026-09-01;13;8;5;6
MYELOID;2026-09-02;11;5;6;5
MYELOID;2026-09-03;12;4;8;4
MYELOID;2026-09-04;10;0;10;3
MYELOID;2026-09-05;2;0;2;2
MYELOID;2026-09-06;2;0;2;1
MYELOID;2026-09-07;11;0;11;0
FISH;2026-08-01;2;2;0;
FISH;2026-08-02;3;3;0;
FISH;2026-08-03;10;10;0;
FISH;2026-08-04;8;8;0;
FISH;2026-08-05;11;11;0;
FISH;2026-08-06;9;9;0;
FISH;2026-08-07;7;7;0;
FISH;2026-08-08;0;0;0;
FISH;2026-08-09;2;1;1;29
FISH;2026-08-10;11;10;1;28
FISH;2026-08-11;8;7;1;27
FISH;2026-08-12;8;7;1;26
FISH;2026-08-13;10;9;1;25
FISH;2026-08-14;9;9;0;
FISH;2026-08-15;0;0;0;
FISH;2026-08-16;6;6;0;
FISH;2026-08-17;6;6;0;
FISH;2026-08-18;7;5;2;20
FISH;2026-08-19;10;10;0;
FISH;2026-08-20;11;8;3;18
FISH;2026-08-21;6;5;1;17
FISH;2026-08-22;3;3;0;
FISH;2026-08-23;5;3;2;15
FISH;2026-08-24;4;3;1;14
FISH;2026-08-25;13;12;1;13
FISH;2026-08-26;7;4;3;12
FISH;2026-08-27;12;4;8;11
FISH;2026-08-28;9;5;4;10
FISH;2026-08-29;1;1;0;
FISH;2026-08-30;1;0;1;8
FISH;2026-08-31;8;1;7;7
FISH;2026-09-01;7;0;7;6
FISH;2026-09-02;10;0;10;5
FISH;2026-09-03;6;0;6;4
FISH;2026-09-04;4;0;4;3
FISH;2026-09-05;2;0;2;2
FISH;2026-09-06;4;0;4;1
FISH;2026-09-07;6;0;6;0
PATOLOGI;2026-08-01;1;1;0;
PATOLOGI;2026-08-02;1;1;0;
PATOLOGI;2026-08-03;12;11;1;35
PATOLOGI;2026-08-04;11;11;0;
PATOLOGI;2026-08-05;10;8;2;33
PATOLOGI;2026-08-06;9;9;0;
PATOLOGI;2026-08-07;9;9;0;
PATOLOGI;2026-08-08;1;1;0;
PATOLOGI;2026-08-09;0;0;0;
PATOLOGI;2026-08-10;9;9;0;
PATOLOGI;2026-08-11;9;9;0;
PATOLOGI;2026-08-12;10;8;2;26
PATOLOGI;2026-08-13;8;8;0;
PATOLOGI;2026-08-14;7;5;2;24
PATOLOGI;2026-08-15;2;2;0;
PATOLOGI;2026-08-16;0;0;0;
PATOLOGI;2026-08-17;7;6;1;21
PATOLOGI;2026-08-18;11;8;3;20
PATOLOGI;2026-08-19;10;5;5;19
PATOLOGI;2026-08-20;11;8;3;18
PATOLOGI;2026-08-21;8;6;2;17
PATOLOGI;2026-08-22;4;3;1;16
PATOLOGI;2026-08-23;2;0;2;15
PATOLOGI;2026-08-24;7;3;4;14
PATOLOGI;2026-08-25;6;3;3;13
PATOLOGI;2026-08-26;5;1;4;12
PATOLOGI;2026-08-27;7;2;5;11
PATOLOGI;2026-08-28;7;3;4;10
PATOLOGI;2026-08-29;0;0;0;
PATOLOGI;2026-08-30;0;0;0;
PATOLOGI;2026-08-31;8;0;8;7
PATOLOGI;2026-09-01;7;0;7;6
PATOLOGI;2026-09-02;7;0;7;5
PATOLOGI;2026-09-03;14;0;14;4
PATOLOGI;2026-09-04;12;0;12;3
PATOLOGI;2026-09-05;3;0;3;2
PATOLOGI;2026-09-06;2;0;2;1
PATOLOGI;2026-09-07;10;0;10;0
